region,ages,year,population
AL,under18,2011,1125763
UT,under18,2007,815496
IL,total,2011,12855970
NM,under18,2007,508725
ID,total,1999,1275674
DE,total,2010,899711
NM,total,2004,1903808
AR,under18,1994,653842
NE,total,2012,1855350
RI,under18,2010,223088
GA,total,2001,8377038
IN,total,1993,5739019
CT,total,1994,3316121
AL,total,2004,4530729
PA,total,1999,12263805
NY,total,2003,19175939
NY,under18,2002,4652232
NE,total,2002,1728292
TN,total,2004,5910809
RI,under18,2013,213987
KY,total,2008,4289878
RI,under18,2006,237348
OR,under18,1992,770191
ND,under18,2005,148119
VA,under18,1997,1683766
VA,total,2010,8024417
AR,total,2013,2959373
NJ,under18,2010,2062013
UT,total,2009,2723421
UT,total,1993,1898404
WY,under18,2009,134960
MA,under18,2004,1479541
WV,total,2010,1854146
IA,total,2011,3064102
MS,total,2013,2991207
MA,total,2002,6417206
WY,under18,2003,124182
NM,total,2011,2077919
DC,total,1997,567739
KY,under18,2005,1004020
WA,total,2010,6742256
NE,total,2005,1761497
NM,total,1992,1595442
MT,total,1995,876553
NJ,under18,1990,1818187
VT,total,2006,622892
MT,under18,2007,223135
CT,total,2012,3591765
DE,under18,2010,205478
AR,under18,1998,683637
ME,under18,2010,273061
MO,total,1991,5170800
KY,under18,2008,1022001
DE,total,1990,669567
WI,total,2012,5724554
OR,under18,1991,752442
OK,total,2013,3850568
IL,total,1998,12271847
TN,under18,2006,1470166
MS,under18,2010,754111
RI,under18,2011,219783
TX,total,1990,17056755
MS,under18,1998,773721
MA,under18,2000,1501334
WV,under18,2002,393569
MD,under18,1997,1321306
NY,total,1990,18020784
ME,under18,2011,268737
VA,total,2001,7198362
NH,under18,2002,312743
OH,under18,2013,2649830
MD,total,1999,5254509
SC,under18,2011,1076524
CT,under18,2011,805109
CA,under18,1993,8624810
USA,total,2007,301231207
NC,under18,1992,1674144
OH,total,1992,11029431
NM,under18,2000,508132
AZ,total,1992,3915740
AL,total,1992,4154014
UT,total,1997,2119784
KY,under18,2010,1023679
DE,total,2007,871749
NH,under18,2005,307403
MA,total,1992,6028709
UT,under18,1994,673935
HI,under18,2011,305396
MO,under18,2008,1428945
KS,under18,2013,724092
AK,under18,1999,191422
LA,total,2011,4575197
NJ,total,2001,8492671
MN,under18,2006,1282381
ND,total,1990,637685
AL,under18,1994,1097180
TX,under18,2011,6931758
AK,total,1997,612968
CO,total,1990,3307618
SC,total,2008,4528996
MS,total,2006,2904978
NM,total,1995,1720394
CO,total,2010,5048196
SC,total,1990,3501155
PR,total,2001,3818774
PA,under18,1996,2937411
MN,total,1990,4389857
OH,under18,2002,2865674
AZ,under18,2006,1574867
TX,under18,2000,5906301
NJ,total,2006,8661679
FL,total,2003,17004085
CA,total,1999,33499204
VT,under18,1999,147859
WY,under18,2004,123974
MD,total,2006,5627367
CA,total,2008,36604337
AR,total,2010,2922280
WI,total,1998,5297673
NY,under18,2011,4294555
GA,total,1999,8045965
PR,under18,2007,973613
NE,under18,2003,447444
NH,total,2012,1321617
ME,total,2013,1328302
MN,under18,1990,1176680
MD,total,2000,5311034
CA,under18,1991,8245605
WV,total,2009,1847775
KS,under18,1996,696298
RI,under18,1997,242079
CT,total,2010,3579210
MS,under18,1996,769680
MI,total,2006,10036081
AZ,under18,2009,1627343
WY,under18,1999,130793
KS,total,1993,2556547
MD,under18,2010,1351983
NM,under18,1998,512801
KY,total,1995,3887427
PR,total,2003,3826095
NJ,total,2005,8651974
AZ,total,2007,6167681
CT,total,1992,3300712
OK,under18,2010,931483
OK,total,1999,3437148
WI,under18,2009,1342411
MD,under18,1992,1235498
TN,total,2010,6356683
AR,under18,1990,620933
KS,under18,2012,726668
MO,total,2013,6044171
OH,total,1993,11101140
MI,under18,2007,2470063
WY,under18,1990,136078
VT,under18,1995,151439
OR,total,1990,2860375
RI,total,1997,1025353
NM,total,2007,1990070
PR,under18,1999,NaN
ND,under18,2000,160477
KS,total,2010,2858910
NJ,under18,1999,2066678
GA,under18,2005,2353604
WA,under18,2013,1595795
MA,total,1999,6317345
PR,total,2012,3651545
ID,under18,2011,428535
NY,under18,1998,4652140
CT,under18,1999,834654
LA,total,1993,4316428
MA,under18,2013,1393946
MD,total,2012,5884868
USA,total,1995,266278403
KS,under18,2004,705456
MI,total,1998,9847942
MA,under18,2011,1407240
NV,total,2005,2432143
TX,under18,2010,6879014
RI,under18,1994,239100
IA,total,2013,3090416
IN,total,2006,6332669
OH,under18,2004,2836068
IA,under18,1994,728397
WA,total,2004,6178645
NC,under18,1995,1785150
OH,total,1995,11202751
UT,total,2005,2457719
ID,total,1997,1228520
ND,under18,1993,172168
MS,under18,1991,738911
IL,total,1990,11453316
KS,under18,2011,726787
AL,total,1994,4260229
USA,total,2013,316128839
MI,under18,1991,2484957
MI,total,2011,9874589
AK,total,2005,666946
CT,under18,2013,785566
MA,under18,2010,1415962
MN,under18,1994,1238949
NJ,total,2009,8755602
WY,under18,2006,125525
ME,under18,1994,311570
NV,under18,2000,516018
NE,under18,2012,462673
MS,total,2000,2848353
OH,total,2006,11481213
NV,under18,2011,659236
SD,under18,1990,199453
DC,under18,1995,123620
MO,total,2008,5923916
KY,under18,2001,994105
CT,total,1997,3349348
MI,under18,2012,2269365
AK,total,2002,642337
CT,total,1995,3324144
AK,under18,1991,182180
MN,under18,1995,1245932
MN,total,1996,4712827
ID,under18,1999,366689
WA,under18,1998,1494784
MS,total,2007,2928350
NH,total,2004,1290121
OK,under18,1993,870137
NV,under18,1990,316406
MI,total,1996,9758645
WY,total,2003,503453
IA,total,2002,2934234
MO,total,1990,5128880
MS,under18,2012,742941
AK,under18,2007,184344
MS,under18,2013,737432
USA,total,1990,249622814
TX,under18,2008,6675917
MS,total,2011,2977886
FL,under18,2004,3890734
AL,total,2001,4467634
NJ,under18,2008,2076366
MA,under18,1992,1390188
TX,under18,2007,6565872
AZ,under18,2013,1616814
TN,under18,2009,1494687
ND,total,2009,664968
IN,under18,1999,1566079
ND,under18,2010,150179
VA,total,2008,7833496
SC,total,1995,3748582
OR,under18,2012,859910
LA,under18,1994,1247631
OK,total,2002,3489080
PR,under18,1992,NaN
WA,under18,2011,1584709
OK,total,1996,3340129
